Judul,Tanggal,Berita,Kategori
Bank Mandiri: Sektor keuangan pengaruhi praktik bisnis pelaku usaha," Kamis, 7 Desember 2023 12:41 WIB"," kami merasakan pentingnya mendefinisikan kembali tujuan Bank Mandiri dan memastikan strategi kami selaras dengan tujuan berkelanjutanJakarta (ANTARA) - Direktur Utama PT Bank Mandiri (Persero) Tbk Darmawan Junaidi mengatakan sektor keuangan memainkan peran penting dalam mempengaruhi bisnis pelaku usaha, terutama dalam praktik berkelanjutan.   Pasalnya, keputusan yang diambil oleh bank dan lembaga keuangan lainnya mengenai strategi produk dan layanan yang ditawarkan dapat mendorong banyak pelaku usaha untuk mengadopsi praktik berkelanjutan.   ""Oleh karena itu, kami merasakan pentingnya mendefinisikan kembali tujuan Bank Mandiri dan memastikan strategi kami selaras dengan tujuan berkelanjutan,"" kata Darmawan dalam acara Mandiri Sustainability Forum 2023 di Jakarta, Kamis.   Di tengah perubahan perekonomian global saat ini, Darmawan menilai dunia usaha semakin menyadari bahwa menciptakan nilai-nilai yang bertahan lama saat ini penting lebih dari sekadar menghasilkan keuntungan.   Untuk itu, dengan meningkatnya kepedulian terhadap lingkungan, sosial dan tata kelola, dunia bisnis telah mengalami perubahan besar.  Baca juga: Bank Mandiri salurkan Rp253 triliun portofolio kredit berkelanjutan   Baca juga: Bank Mandiri biayai pembangunan dua Kapal AL senilai Rp66 miliar   Dalam komitmen berkelanjutan, ia menuturkan Bank Mandiri pun menjadi salah satu bank dari Indonesia yang menandatangani Nota Kesepahaman di Paviliun Indonesia pada Konferensi para pihak konvensi kerangka kerja PBB tentang perubahan iklim (Conference of the Parties 28/COP28) di Dubai, Uni Emirat Arab.   Langkah tersebut dilakukan untuk bersatu dalam berbagai proyek prospektif untuk mendukung perjalanan dekarbonisasi Indonesia, yang selaras dengan komitmen global untuk membatasi suhu dalam jangkauan 1,5 derajat Celcius di atas tingkat pra-industri.   ""Kami mengakui pentingnya kolaborasi untuk bereaksi dan mengambil langkah lebih lanjut dalam menciptakan jalan ke depan bagi kita untuk menjadi lebih berketahanan iklim,"" ucap dia.   Darmawan melanjutkan Indonesia dalam komitmennya untuk mengatasi tantangan iklim telah mengambil langkah-langkah berwawasan ke depan yang diartikulasikan dalam meningkatkan Kontribusi yang Ditentukan Secara Nasional (Nationally Determined Contribution/NDC).   Dalam kontribusi tersebut, Indonesia mempunyai cita-cita untuk mengurangi emisi sebesar 31,9 persen dengan upaya sendiri serta 43,2 persen dengan dukungan internasional pada 2030. Sementara target jangka panjangnya yakni mencapai emisi nol bersih pada 2060 atau lebih cepat.  Baca juga: Ditjen Imigrasi gandeng Bank Mandiri optimalkan layanan Golden Visa   Baca juga: Bank Mandiri raih BI Award 2023 sebagai mitra pengembangan pasar uang   Pewarta: Agatha Olivia VictoriaEditor: Agus Salim    COPYRIGHT © ANTARA 2023 ",ekonomi
Kemenkeu: Hilirisasi sumber daya alam dukung ekonomi hijau," Kamis, 7 Desember 2023 12:37 WIB","     Jakarta (ANTARA) - Direktur Jenderal Anggaran Kementerian Keuangan (Kemenkeu) Isa Rachmatarwata mengatakan hilirisasi sumber daya alam (SDA) dapat mendukung terwujudnya ekonomi hijau di Indonesia.   ""Hilirisasi berbagai komoditas juga mendukung green ekonomi di Indonesia sebagai contoh produksi CPO yang dikembangkan hingga menjadi bahan bakar ramah lingkungan,"" kata Isa dalam Simposium Praktisi dan Periset Ekonomi (Pareto) bertema The Downstream Industrialization of Natural Resources di Jakarta, Kamis.   Isa menuturkan komoditas minyak kelapa sawit (crude palm oil/CPO) dikembangkan menjadi bahan bakar ramah lingkungan seperti biofuel dan biogas sehingga mendukung upaya untuk meningkatkan kehijauan dari ekonomi Indonesia.   Selain CPO, komoditas lain yang dikembangkan untuk mendukung industri hijau adalah nikel. Nikel merupakan salah satu bahan baku pembuatan baterai listrik.   Saat ini, ada tren peningkatan kendaraan listrik. Kondisi tersebut akan mendorong permintaan baterai kendaraan listrik antara lain yang berbasis nikel. Itu akan menjadi suatu kesempatan bagi pengembangan ekonomi Indonesia ke depan.   Saat ini terdapat sekitar 50 perusahaan yang mengembangkan kendaraan listrik (electric vehicle/EV) di Indonesia, dengan total investasi mencapai lebih dari 200 juta dolar AS atau sekitar Rp3 triliun.  Baca juga: Menkeu: Belanja negara dukung percepatan transformasi ekonomi hijau   Pemerintah Indonesia telah menetapkan target satu juta kendaraan roda empat yang beroperasi di tahun 2035 merupakan kendaraan listrik, yang setara dengan penghematan sekitar 12,5 juta barel bahan bakar minyak (BBM) dan mengurangi karbon dioksida (CO2) sebesar 4,6 juta ton.   Selain itu, ditargetkan pula 12 juta unit kendaraan listrik roda dua maupun tiga beroperasi di tahun 2025, setara dengan penghematan 18,86 juta barel BBM dan pengurangan 6,9 juta ton CO2.   Sebelumnya, Presiden RI Joko Widodo (Jokowi) mengatakan Indonesia memiliki potensi besar untuk mengembangkan ekonomi hijau (green economy), guna mengurangi dampak perubahan iklim.   “Ekonomi dunia sekarang sedang bertransformasi ke green economy, pembiayaan sekarang larinya terutama ke industri hijau, penggunaan energi juga sama beralih semuanya ke green energy karena kita semua ingin mengurangi dampak perubahan iklim,” kata Jokowi dalam pembukaan Mahasabha XIIII Kesatuan Mahasiswa Hindu Dharma Indonesia di Auditorium Universitas Tadulako, Palu, Sulawesi Tengah, Rabu (30/8).  Baca juga: Menparekraf sebut tren pariwisata hijau mampu menarik investasi   Di antara sejumlah potensi yang dimiliki Indonesia, Presiden menyebut potensi geothermal sebesar 24 ribu megawatt, hydropower 95 ribu megawatt yang berasal dari 4.400 sungai di seluruh Tanah Air, solar panel matahari 169 ribu megawatt, serta tenaga angin 68 ribu megawatt.   Dengan berbagai potensi tersebut, dia optimistis Indonesia bisa menarik lebih banyak investasi di sektor ekonomi hijau.   Terlebih, Indonesia sedang membangun kawasan industri hijau, salah satunya di Kalimantan Utara dengan luas total 30 ribu hektare yang akan menggunakan energi air dari Sungai Kayan di daerah tersebut.Pewarta: Martha Herlinawati SimanjuntakEditor: Adi Lazuardi    COPYRIGHT © ANTARA 2023 ",ekonomi
Menteri Bahlil: Hilirisasi harus terus berjalan," Kamis, 7 Desember 2023 12:26 WIB"," Kalau masih kita berpikir mengirim raw material, itu sama saja kita berpikir masih dalam dunia penjajahanJakarta (ANTARA) - Menteri Investasi/Kepala Badan Koordinasi Penanaman Modal (BKPM) Bahlil Lahadalia menegaskan bahwa kebijakan hilirisasi yang dicanangkan oleh pemerintah harus terus berjalan demi kemandirian ekonomi dan kedaulatan negara.   ""Terus, ini lah yang disebut dengan kedaulatan negara, ini disebut bagaimana ada kemandirian ekonomi, mau sumber daya alam kita diambil mentahnya saja? Kalau masih kita berpikir mengirim raw material, itu sama saja kita berpikir masih dalam dunia penjajahan,"" ujar Bahlil usai pembukaan Rapat Koordinasi Nasional Investasi 2023 di Jakarta, Kamis.   Bahlil mengatakan, penciptaan nilai tambah sangat penting untuk meningkatkan pendapatan negara. Sebelum dilakukannya hilirisasi, ekspor nikel pada 2017 hanya mencapai 3,3 miliar dolar AS.   Sementara pada 2022 atau setelah hilirisasi diberlakukan, angkanya meningkat signifikan menjadi 33,8 miliar dolar AS. Angka tersebut hanya berasal dari satu sampai dua turunan nikel, belum termasuk Electric Vehicle (EV) baterai dan mobil listrik.   Lebih lanjut, Bahlil menyampaikan hilirisasi nikel tidak hanya berupa baterai mobil listrik saja. Dari nikel, Indonesia bisa membuat produk jadi seperti stainless steel, sendok, baja dan lainnya.   ""Saya kadang-kadang bingung ketika orang berpandangan hilirisasi itu hanya bagian satu produk seperti ekosistem baterai mobil listrik, itu kan cuma satu bagian saja,"" kata Bahlil.   Sementara itu, Bahlil optimistis target investasi Indonesia pada 2023 sebesar Rp1.400 triliun dapat tercapai hingga akhir tahun.   Pada 2024, Kementerian Investasi ditargetkan mampu mendapatkan investasi sebesar Rp1.650 triliun. Menurut Bahlil, angka tersebut cukup besar sehingga diperlukan sebuah strategi khusus.   ""Makanya hari ini kita rakor (rapat koordinasi) dalam rangka membahas strateginya seperti apa, karena kan tidak mudah ya. Tahun politik, geopolitik juga tidak terlalu menentu dan kita lagi mengatur strateginya dalam rakor,"" ucapnya.   Baca juga: Erick: investor Tiongkok bawa perubahan signifikan bidang hilirisasi  Baca juga: BRIN ingatkan pentingnya selektif dalam melakukan hilirisasi  Baca juga: Bahlil promosikan investasi hilirisasi dan IKN ke investor ChinaPewarta: Maria Cicilia Galuh PrayudhiaEditor: Faisal Yunianto    COPYRIGHT © ANTARA 2023 ",ekonomi
Presiden: Perbaiki iklim investasi untuk tingkatkan daya saing RI," Kamis, 7 Desember 2023 12:22 WIB"," Saya minta terus perbaiki iklim investasi nasional maupun daerah dan tingkatkan realisasi investasinyaJakarta (ANTARA) - Presiden RI Joko Widodo menyatakan iklim investasi dalam negeri perlu terus diperbaiki guna meningkatkan daya saing Indonesia di tingkat global.   ""Saya minta terus perbaiki iklim investasi nasional maupun daerah dan tingkatkan realisasi investasinya,"" kata Presiden Jokowi saat membuka Rapat Koordinasi Nasional Investasi 2023 diikuti dalam jaringan (daring) di Jakarta, Kamis.   Salah satu sektor perbaikan yang disorot Presiden berkaitan dengan masalah perizinan dan pembebasan lahan, seperti yang terjadi pada investasi Lotte di Provinsi Banten.   ""Yang dulu kita ini selalu berorientasi pada pemasaran terus, marketing terus, begitu investor datang, pembebasan lahan gagal, balik nggak jadi investasi, investor datang lagi ruwet perizinannya, balik kembali lagi nggak jadi investasi,"" ujarnya.   Untuk itu Presiden mengarahkan agar sektor investasi tak lagi terkonsentrasi pada upaya pemasaran, tapi beralih pada strategi penyelesaian permasalahan di dalam negeri.   Strategi yang efektif untuk diterapkan dalam menggaet minat investor, kata Jokowi, adalah bekerja fokus, detil dan selesai pada simpul persoalan yang terjadi di dalam negeri.  Baca juga: Presiden: Energi hijau peluang tingkatkan pemerataan pembangunan RI   Baca juga: Presiden Jokowi: Infrastruktur nasional daya tawar bagi investasi   ""Percuma kita marketing muter ke seluruh negara berbondong-bondong datang, kemudian urusan tanah saja tidak bisa diselesaikan. Berbondong-bondong masuk, perizinan ruwet bertahun-tahun nggak bisa selesai, untuk apa kita memarketingi urusan investasi,"" katanya.   Dalam kesempatan itu Jokowi menyampaikan bahwa Indonesia masuk dalam peringkat 34 negara paling kompetitif di dunia berdasarkan laporan lembaga akademik Swiss, International Institute for Management Development (IMD) pada 2023.   Indonesia menduduki peringkat 34 dari 64 negara yang tercatat, atau naik dari rangking 44 dari 2022.   Namun Presiden Jokowi menekankan agar peningkatan peringkat daya saing itu terus dikejar melalui kerja keras.   ""Kalau dibandingkan misalnya dengan Philipina itu di angka 52, kita masih menang, tapi dibandingkan Thailand kita kalah, karena di angka 30. Dibandingkan Malaysia kita juga kalah karena Malaysia di angka 27,"" ujarnya.   Menurut Jokowi, Singapura sebagai negara tetangga Indonesia, termasuk negara paling bersaing yang kini menduduki rangking ke-4 dunia.  Baca juga: Jokowi: RI butuh investasi untuk wujudkan emisi nol bersih 2060   Baca juga: Jokowi undang kolaborasi multipihak untuk wujudkan netralitas karbonPewarta: Andi FirdausEditor: Agus Salim    COPYRIGHT © ANTARA 2023 ",ekonomi
"Respons temuan BPK, SIG berkomitmen jalankan bisnis sesuai prinsip GCG"," Kamis, 7 Desember 2023 12:05 WIB"," Perusahaan telah menempuh langkah-langkah secara internal dalam bentuk audit investigasi, serta proses hukum untuk menindak lanjuti kasus tersebutJakarta (ANTARA) - PT Semen Indonesia (Persero) Tbk (SIG) menegaskan komitmen menjalankan kegiatan bisnis sesuai prinsip tata kelola perusahaan yang baik (good corporate governance/GCG) dan menjunjung tinggi asas kepatuhan hukum, etika dan integritas.    Pernyataan ini dikeluarkan sebagai respons atas hasil audit Badan Pemeriksa Keuangan (BPK) terkait indikasi adanya fraud.    “Terkait temuan BPK tentang indikasi adanya fraud pada periode 2018 - 2019 yang terjadi di entitas bisnis di bawah anak usaha SIG (cucu perusahaan), Perusahaan telah menempuh langkah-langkah secara internal dalam bentuk audit investigasi, serta proses hukum untuk menindak lanjuti kasus tersebut telah dilakukan sejak akhir tahun 2019,” kata Corporate Secretary SIG Vita Mahreyni dalam keterangan di Jakarta, Kamis.    Selain melakukan audit, SIG disebut telah memeriksa jajaran manajemen entitas terkait dan memberikan sanksi berupa pemberhentian dari jabatan. Hingga saat ini, proses hukum masih berlanjut dan pihaknya terus melakukan pendampingan dan pengawasan terhadap penyelesaian kasus tersebut.    “SIG mendorong anak usaha untuk memastikan integritas dan akuntabilitas dalam setiap aktivitas usaha seluruh entitas di dalam grup. SIG menghormati dan mendukung tugas dan proses yang dijalankan BPK, serta menjadikan ini sebagai bahan evaluasi untuk meningkatkan penguatan proses uji tuntas dan tata kelola demi kemajuan Perusahaan,” ujar Vita.  Baca juga: Budi Waseso diangkat sebagai Komisaris Utama PT Semen Indonesia   Baca juga: SIG siapkan strategi untuk pertahankan dominasi pasar semen    SIG atau PT Semen Indonesia (Persero) Tbk, adalah BUMN klaster infrastruktur yang tercatat di PT Bursa Efek Indonesia dengan 51 persen saham dimiliki Pemerintah Indonesia.   Sejak tahun 2013, SIG menjadi penyedia bahan bangunan terdepan di kawasan regional, menjangkau pasar Asia, Australia dan Oceania.    Berbekal pengalaman lebih dari 100 tahun, lanjutnya, SIG sebagai holding BUMN semen menyatukan enam anak usaha produsen semen yaitu, PT Semen Padang, PT Semen Gresik, PT Semen Tonasa, PT Solusi Bangun Indonesia Tbk, PT Semen Baturaja Tbk dan Thang Long Cement Company, Vietnam.    Di bawah SIG, perusahaan semen nasional tersebut berkomitmen menyediakan solusi bahan bangunan dengan prinsip berkelanjutan untuk menjaga keanekaragaman hayati dan mengurangi emisi gas rumah kaca.  Baca juga: Semen Indonesia optimistis raihan hak paten white clay perkuat bisnis   Baca juga: Semen Indonesia perkuat sinergi dengan pemilik toko bangunanPewarta: M Baqir Idrus AlatasEditor: Agus Salim    COPYRIGHT © ANTARA 2023 ",ekonomi
"OJK: Indonesia butuh 5,7 miliar dolar AS untuk transisi ener"," Kamis, 7 Desember 2023 11:56 WIB"," OJK dan kementerian lainnya terus berdialog tentang bagaimana menyeimbangkan proses transisi menuju ekonomi hijau .....Jakarta (ANTARA) - Anggota Dewan Komisioner Otoritas Jasa Keuangan (OJK) Inarno Djajadi mengatakan pemerintah Indonesia masih membutuhkan anggaran sebesar 5,7 miliar dolar AS atau sekitar Rp81,6 triliun per tahun untuk mendukung transisi ke energi yang ramah lingkungan.    “OJK dan kementerian lainnya terus berdialog tentang bagaimana menyeimbangkan proses transisi menuju ekonomi hijau sambil mempertahankan pertumbuhan,” kata Inarno dalam Mandiri Sustainable Forum di Jakarta, Kamis.    Untuk menutup kesenjangan anggaran transisi energi dan mengurangi dampak negatif perubahan iklim, OJK telah mengambil beberapa langkah sejak 2015, salah satunya dengan menerbitkan Peta Jalan Keuangan Berkelanjutan 2015-2019,    “Sebagai hasil dari peta jalan berkelanjutan fase satu, kami telah mampu menetapkan peraturan keuangan berkelanjutan, peraturan obligasi hijau atau greenbond, dan pedoman penerapan dan pelaporan keuangan berkelanjutan,” kata Inarno.  Baca juga: PLN Indonesia Power tegaskan komitmen transisi energi di COP28 Dubai    OJK juga telah menerbitkan Peta Jalan Keuangan Berkelanjutan 2021-2025 yang bertujuan memperkuat ekosistem keuangan berkelanjutan, yang juga menjadi landasan peluncuran taksonomi hijau pada 2020 yang kini telah berkembang menjadi taksonomi berkelanjutan.    Pada 2023 OJK meluncurkan Peraturan OJK Nomor 14 Tahun 2023 tentang Perdagangan Karbon Melalui Bursa Karbon dan bursa karbon diluncurkan pada 26 September 2023 lalu.    “Bursa karbon diharapkan menjadi pusat perdagangan karbon global, karena sejalan dengan strategi nasional untuk pengembangan pasar keuangan,” katanya.  Baca juga: Indonesia targetkan pengurangan emisi 358 juta ton CO2 pada 2030    Penerbitan obligasi ramah lingkungan di dalam negeri juga terus bertumbuh dengan pasar mencapai lebih dari Rp20 triliun.    Selain itu, saat ini 13 manajer investasi telah menggunakan Indeks Sri Kehati untuk menerbitkan reksa dana yang menerapkan prinsip Environmental, Sustainable, and Governance dengan total pasar senilai Rp6 triliun.    “Terlepas dari tantangan-tantangan perekonomian berkelanjutan Indonesia mempunyai potensi untuk memerangi dampak negatif perubahan iklim dan mencapai target emisi karbon nol,” katanya.Pewarta: Sanya Dinda SusantiEditor: Nusarina Yuliastuti    COPYRIGHT © ANTARA 2023 ",ekonomi
Penyaluran pupuk bersubsidi di Situbondo capai 81 persen," Kamis, 7 Desember 2023 11:45 WIB"," penyaluran pupuk subsidi kuota tahun 2023 ini untuk jenis urea 30.626 ton sudah dilakukan sejak masa tanam satu dan dua (MT 1 dan 2) sebanyak  81 persenSitubondo (ANTARA) - Pemerintah Kabupaten Situbondo, Jawa Timur, mencatat sebanyak 24.884 ton pupuk bersubsidi atau 81 persen dari kuota 30.626 ton telah didistribusikan kepada petani yang terdaftar dalam elektronik rencana definitif kebutuhan kelompok (e-RDKK) yang saat ini diubah dengan sistem e-Alokasi.   Kepala Dinas Pertanian dan Ketahanan Pangan Kabupaten Situbondo Dadang Aries Bintoro menjelaskan bahwa 24.884 ton pupuk subsidi jenis urea maupun pupuk NPK (Phonska) disalurkan kepada para petani melalui kios-kios pupuk yang tersebar di 17 kecamatan.   ""Perlu kami jelaskan penyaluran pupuk subsidi kuota tahun 2023 ini untuk jenis urea 30.626 ton sudah dilakukan sejak masa tanam satu dan dua (MT 1 dan 2) sebanyak  81 persen. Jadi pupuk subsidi per 30 Oktober 2023 tersisa sekitar 6.000 ton,"" kata Dadang di Situbondo, Jawa Timur, Kamis.   Sebanyak 6.000 ton pupuk urea subsidi itu, lanjut Dadang, kembali disalurkan kepada petani melalui kios-kios pupuk pada masa tanam ketiga (MT 3) hingga akhir bulan Desember 2023.   Dadang menyebutkan pada tahun ini Situbondo mendapat jatah pupuk bersubsidi jenis urea 30.626 ton, sedangkan pupuk subsidi jenis NPK sekitar 20.000 ton sesuai jumlah nama petani penerima pupuk bersubsidi yang diusulkan melalui e-RDKK/e-Alokasi.  Baca juga: Pemkab: ""Merak Balu-Run 2023"" agenda tahunan tarik turis ke Situbondo   Baca juga: Pekan depan Kemenhub kirim SK Penyesuaian Tarif Feri Jangkar-Lembar   ""Tahun depan (2024) kami mengusulkan tambahan kuota pupuk subsidi menjadi 32.000 ton ke Kementerian Pertanian, dan hingga saat ini masih proses verifikasi, kami juga belum tahu berapa ton yang akan terealisasi,"" kata Dadang.   Kepala Bidang Penyuluhan pada Dinas Pertanian dan Ketahanan Pangan Kabupaten Situbondo, M Zaini menambahkan petani yang belum tercatat sebagai penerima bantuan pupuk bersubsidi segera mendaftarkan diri ke kelompok tani di wilayahnya.   ""Sesuai aturan penerima bantuan pupuk bersubsidi dari pemerintah pusat berlaku bagi petani yang memiliki lahan sawah di bawah 2 hektare,"" kata Zaini.  Baca juga: ASDP secara bertahap terapkan tiket elektronik rute Situbondo-Madura   Baca juga: ASDP Ketapang mulai sosialisasi tarif tiket terpadu Situbondo-MaduraPewarta: Novi HusdinariyantoEditor: Agus Salim    COPYRIGHT © ANTARA 2023 ",ekonomi
Presiden: Energi hijau peluang tingkatkan pemerataan pembangunan RI," Kamis, 7 Desember 2023 11:37 WIB"," ke depan akan sangat sulit produk yang berkaitan tidak ramah lingkungan bisa diterima di banyak negaraJakarta (ANTARA) - Presiden RI Joko Widodo (Jokowi) mengemukakan investasi energi hijau dan energi biru yang ramah lingkungan merupakan peluang bagi Indonesia dalam upaya meningkatkan pemerataan pembangunan nasional.   ""Yang berkaitan dengan pemerataan pembangunan, bahwa sekarang investasi di luar Jawa sudah 52 persen, investasi di Jawa 48 persen. Artinya, di luar Jawa sudah lebih besar dari investasi yang ada di Jawa, ini benar,"" kata Presiden Jokowi saat membuka Rapat Koordinasi Nasional Investasi 2023 diikuti dalam jaringan (daring) di Jakarta, Kamis.   Ia mengatakan Indonesia perlu bertransisi pada pengembangan industri ramah lingkungan dan berkelanjutan guna menangkap peluang pasar investasi global.   Misalnya, kata Jokowi, yang berkaitan dengan geotermal yang dalam dua bulan terakhir mengalami lompatan saham tujuh hingga sepuluh kali lipat di bursa Indonesia karena berada di lingkaran green energy.   Selain itu, industri pembangkit panel surya dan tenaga air, juga menjadi peluang investasi ke depan yang sangat menjanjikan bagi Indonesia, kata Jokowi menambahkan.   ""Sehingga peluang green economy harus ditangkap, yang namanya blue economy investasinya segera dikejar. Karena ke depan akan sangat sulit produk yang berkaitan tidak ramah lingkungan bisa diterima di banyak negara,"" katanya.   Dalam kesempatan itu, Jokowi menyampaikan arahan kepada pemangku kepentingan terkait, termasuk jajaran pemerintah pemerintah daerah, untuk mendorong investasi yang merata hingga di luar Pulau Jawa melalui dukungan pemerintah pusat dalam penyediaan infrastruktur yang memadai.   Presiden Jokowi juga menekankan pentingnya peran pemerintah dalam menjalin kolaborasi pengusaha asing dan domestik dalam mewujudkan pemerataan pembangunan nasional.   Baca juga: Indonesia-Jerman kembangkan pekerjaan hijau sektor energi terbarukan  Baca juga: PLN kembangkan stasiun pengisian hidrogen pertama di Indonesia  Baca juga: Menko Airlangga ajak insinyur percepat EBT dan ekonomi biruPewarta: Andi FirdausEditor: Faisal Yunianto    COPYRIGHT © ANTARA 2023 ",ekonomi
KKP perluas peran Otoritas Kompeten dukung jaminan mutu ," Kamis, 7 Desember 2023 11:33 WIB"," Sebelumnya hasil perikanan tapi sekarang hasil kelautan dan perikanan. Ada produk baru yang kami terapkan untuk standardisasi mutunyaKuta, Bali (ANTARA) - Kementerian Kelautan dan Perikanan (KKP) memperluas peran Otoritas Kompeten untuk mendukung jaminan mutu yang tidak hanya hasil perikanan tapi juga hasil kelautan.    “Sebelumnya hasil perikanan tapi sekarang hasil kelautan dan perikanan. Ada produk baru yang kami terapkan untuk standardisasi mutunya. Itu reformulasi yang sedang kami bangun,” kata Kepala Biro Hukum KKP Effin Martiana di sela konsultasi publik revisi regulasi terkait sistem jaminan mutu dan keamanan hasil laut dan perikanan di Kuta, Kabupaten Badung, Bali, Kamis.    Menurut dia, hasil kelautan itu salah satunya produk garam yang perlu dijamin mutu dan keamanannya.    Untuk itu, KKP melakukan revisi Peraturan Menteri (Permen) Nomor 19 tahun 2010 tentang Pengendalian Sistem Jaminan Mutu dan Keamanan Hasil Perikanan.    Revisi itu dilakukan setelah unit kerja di KKP yakni perkarantinaan ikan dan keamanan hayati ikan pindah ke Badan Karantina Indonesia (Barantin), lembaga pemerintah yang baru dibentuk berdasarkan Peraturan Presiden Nomor 45 tahun 2023 tentang Barantin.    Adapun penyelenggaraan karantina saat ini dilakukan oleh Barantin yang meleburkan unit kerja terkait karantina dari sejumlah lembaga pemerintah/kementerian.  Baca juga: Keberlanjutan Kampung Nelayan Modern KKP Terus Didampingi dan Ditingkatkan   Baca juga: Pertamina Patra Niaga telah bangun 404 SPBU Nelayan di Indonesia    Saat ini, KKP sedang menggodok Rancangan Peraturan Menteri Kelautan dan Perikanan tentang Pengendalian Pelaksanaan Sistem Jaminan Mutu dan Keamanan Hasil Kelautan dan Perikanan.    Nantinya, dalam aturan peraturan menteri yang baru, peran Otoritas Kompeten itu memiliki tugas melakukan pengendalian pelaksanaan sistem jaminan keamanan dan mutu hasil kelautan dan perikanan.    Sedangkan dalam aturan yang direvisi yakni Permen 19/2010, Otoritas Kompeten itu diberi mandat oleh Menteri Kelautan dan Perikanan untuk melakukan pengendalian sistem jaminan mutu dan keamanan hasil perikanan.    “Sebelumnya Otoritas Kompeten di Badan Karantina karena Badan Karantina sudah pindah ke badan lain, maka nanti Otoritas Kompeten ini di Badan Pengendalian dan Pengawasan Mutu Hasil Kelautan dan Perikanan,” ucapnya.    Tak hanya melaksanakan pengendalian, Otoritas Kompeten itu juga diperluas untuk melakukan pengendalian terhadap pelaksanaan pembinaan terkait mutu dan keamanan hasil perikanan dan kelautan.    Nantinya, proses pembuatan standar dan pembinaan kepada pelaku usaha dilaksanakan oleh direktorat jenderal teknis terkait, sedangkan sertifikatnya diterbitkan oleh Badan Pengendalian dan Pengawasan Mutu Hasil Kelautan dan Perikanan selaku Otoritas Kompeten.    Setelah direktorat terkait melakukan pembinaan, maka hasilnya dilaporkan kepada badan itu sebelum diterbitkan sertifikat dan ada pengawasan untuk memastikan pelaku usaha tetap berkelanjutan.    Ia pun memastikan adanya revisi aturan itu tidak menghambat pelaku usaha karena sasarannya adalah unit kerja di KKP.  Baca juga: KKP: Pendampingan dan pengawasan terus dilakukan di Kalamo Biak Numfor   Baca juga: KKP: Modelling Kalamo Pulau Pasaran Lampung siap diresmikanPewarta: Dewa Ketut Sudiarta WigunaEditor: Agus Salim    COPYRIGHT © ANTARA 2023 ",ekonomi
Cadangan devisa Indonesia meningkat pada November 2023," Kamis, 7 Desember 2023 11:26 WIB"," Kenaikan posisi cadangan devisa ini antara lain dipengaruhi oleh penerbitan global bond pemerintah dan penarikan pinjaman luar negeri pemerintahJakarta (ANTARA) - Posisi cadangan devisa Indonesia pada akhir November 2023 tercatat sebesar 138,1 miliar dolar AS, meningkat dibandingkan dengan posisi pada akhir Oktober 2023 sebesar 133,1 miliar dolar AS.   ""Kenaikan posisi cadangan devisa ini antara lain dipengaruhi oleh penerbitan global bond pemerintah dan penarikan pinjaman luar negeri pemerintah,"" kata Direktur Eksekutif Departemen Komunikasi Bank Indonesia (BI) Erwin Haryono di Jakarta, Kamis.   Posisi cadangan devisa tersebut setara dengan pembiayaan 6,3 bulan impor atau 6,1 bulan impor dan pembayaran utang luar negeri pemerintah, serta berada di atas standar kecukupan internasional sekitar 3 bulan impor.   Bank Indonesia menilai cadangan devisa tersebut mampu mendukung ketahanan sektor eksternal serta menjaga stabilitas makroekonomi dan sistem keuangan.   Ke depan, Bank Indonesia memandang cadangan devisa akan tetap memadai, didukung oleh stabilitas dan prospek ekonomi yang terjaga, seiring dengan respons bauran kebijakan yang ditempuh Bank Indonesia dalam menjaga stabilitas makroekonomi dan sistem keuangan untuk mendukung pertumbuhan ekonomi yang berkelanjutan.   Sebelumnya, Gubernur Bank Indonesia (BI) Perry Warjiyo mengatakan cadangan devisa penting sebagai modal asuransi diri terhadap turbulensi global sehingga Indonesia menjaga kecukupan cadangan devisa melalui reformasi manajemen cadangan devisa.   ""Kita perlu memiliki kecukupan cadangan devisa untuk asuransi diri. Cadangan devisa adalah asuransi diri terhadap turbulensi global,"" kata Perry.   Turbulensi ekonomi global pada 2023 meliputi antara lain pertumbuhan ekonomi global yang melambat, di mana ada potensi resesi terjadi di Amerika Serikat (AS) dan Eropa, inflasi global yang tinggi, suku bunga yang tinggi dan bertahan lebih lama, dolar AS yang kuat, serta ketegangan geopolitik.   Reformasi manajemen cadangan devisa diperuntukkan untuk menjaga stabilitas nilai tukar rupiah dan mendukung pertumbuhan ekonomi berkelanjutan terutama di tengah ketidakpastian dan gejolak ekonomi global.   Dalam reformasi manajemen cadangan devisa, sasarannya bukan hanya mempunyai kecukupan cadangan devisa tapi juga harus mampu mengelola cadangan ketika menghadapi valuasi aset di tengah naik turunnya tingkat suku bunga global.   Baca juga: Analis: Cadangan devisa diperkirakan naik, rupiah bisa menguat  Baca juga: IHSG diprediksi sideways seiring rilis cadangan devisa dalam negeri  Baca juga: BI: Cadangan devisa Indonesia turun jadi 133,1 miliar dolar ASPewarta: Martha Herlinawati SimanjuntakEditor: Faisal Yunianto    COPYRIGHT © ANTARA 2023 ",ekonomi
